rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
7,cyclone,loopback,6cd7846d3b30,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,005ae706c689,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,67c30393738e,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,337ae11298c8,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,6cd7846d3b30,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,005ae706c689,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,67c30393738e,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,337ae11298c8,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,f419791dafec,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,b218feaebc26,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,d094476b25f3,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,7f517d308a6c,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
